Valori nutriționale,Așa cum a fost vândut pentru 100 g &#47; 100 ml,Așa cum a fost vândut per porție &#40;1&#46;0 bottle &#40;500&#46;0 ml&#41;&#41;,Comparat cu: Băuturi nealcoolice
Valoarea energetică,"190 kj
(42 kcal)","950 kj
(210 kcal)",+52 %
Grăsimi,0 g,0 g,-100 %
Acizi grași saturați,?,?,
Glucide,"10,6 g",53 g,+60 %
Zaharuri,"10,6 g",53 g,+82 %
Fibre,?,?,
Proteine,0 g,0 g,-100 %
Sare,?,?,
Vitamina A,0 µg,0 µg,
Vitamina D,0 µg,0 µg,
Fructe ‚ legume ‚ nuci și rapsee ‚ nuc și uleiuri de măsline (estimare din analiza listei de ingrediente),0 %,0 %,
